quarter,UNRATE,PSAVERT,CORCACBS,PCE_QoQ,REVOLSL_QoQ,t
2009Q4,9.933333333333334,5.333333333333333,5.75,0.657831136212117,-2.79718088055958,99
2010Q1,9.833333333333334,5.4,6.6,0.9631957490906728,-2.606166464197024,100
2010Q2,9.633333333333333,6.2,6.56,1.0467862641521108,-1.99409159772852,101
2010Q3,9.466666666666669,6.133333333333333,5.48,0.9033537954376668,-2.0593757642711097,102
2010Q4,9.5,5.966666666666666,4.91,1.2499901471860753,-2.198863079652291,103
2011Q1,9.033333333333331,6.6000000000000005,4.39,1.2184581609272271,-1.6108410907564874,104
2011Q2,9.066666666666666,6.366666666666667,3.43,1.0817501868949364,-0.0737207559811992,105
2011Q3,9.0,6.6000000000000005,3.67,0.7653550975950552,0.3183360369085619,106
2011Q4,8.633333333333333,6.633333333333333,2.97,0.5020677516048622,0.3777487561581694,107
2012Q1,8.266666666666667,7.433333333333334,2.63,1.379387130246279,0.2188580491106151,108
2012Q2,8.2,7.900000000000001,2.53,0.4164333033038758,-0.3537878339123779,109
2012Q3,8.033333333333333,6.966666666666666,2.52,0.4924987142800319,0.1348496409542932,110
2012Q4,7.8,9.133333333333333,2.45,0.956586287117922,0.3466096734939583,111
2013Q1,7.733333333333333,4.8,2.3,0.9980774966276584,0.6127926939216266,112
2013Q2,7.533333333333334,5.266666666666667,2.15,0.3366773072878359,0.2171358531922962,113
2013Q3,7.233333333333333,5.233333333333333,2.13,0.8155862389676471,0.2428354847257452,114
2013Q4,6.933333333333334,4.566666666666666,2.09,1.2445209030886415,0.2752468434708888,115
2014Q1,6.666666666666667,5.233333333333333,2.0,0.8170560041147468,1.2715296866844028,116
2014Q2,6.2,5.533333333333334,2.0,1.4020548190073256,1.3659882850369345,117
2014Q3,6.066666666666666,5.433333333333334,1.88,1.2570491480364154,0.9610638417525408,118
2014Q4,5.7,5.666666666666667,1.82,1.012706196138602,0.0706962870884453,119
2015Q1,5.533333333333334,6.2,1.75,0.3159603808098765,-0.104991114264763,120
2015Q2,5.433333333333334,5.8,1.74,1.1838534584244442,1.7859838345453127,121
2015Q3,5.1000000000000005,5.666666666666667,1.75,0.9605172041160516,1.551996169452785,122
2015Q4,5.033333333333333,5.733333333333333,1.77,0.3294922462357519,-0.3319218207808561,123
